< 30 jaar,30-44 jaar,45-64 jaar,65-74 jaar,>= 75 jaar
1710.0,768.0,1759.0,712.0,479.0
1638.0,999.0,930.0,278.0,144.0
1907.0,947.0,1209.0,511.0,474.0
1403.0,796.0,996.0,432.0,260.0
1904.0,1109.0,1558.0,670.0,516.0
4224.0,1976.0,2271.0,882.0,789.0
191.0,49.0,192.0,54.0,30.0
277.0,116.0,295.0,105.0,74.0
83.0,18.0,49.0,26.0,7.0
95.0,43.0,116.0,40.0,20.0
1144.0,650.0,774.0,437.0,295.0
1400.0,420.0,416.0,156.0,84.0
1893.0,958.0,959.0,340.0,237.0
255.0,98.0,283.0,140.0,56.0
21.0,15.0,19.0,9.0,6.0
747.0,361.0,330.0,105.0,44.0
1628.0,1061.0,1428.0,492.0,108.0
1003.0,533.0,679.0,214.0,292.0
1458.0,725.0,827.0,353.0,350.0
1829.0,910.0,1578.0,638.0,383.0
857.0,503.0,533.0,158.0,83.0
61.0,39.0,74.0,28.0,10.0
14.0,10.0,18.0,5.0,2.0
144.0,51.0,164.0,39.0,25.0
1465.0,684.0,1574.0,456.0,372.0
1687.0,840.0,1318.0,658.0,696.0
3061.0,1847.0,1726.0,655.0,426.0
11.0,9.0,16.0,8.0,7.0
1485.0,831.0,1186.0,261.0,76.0
1518.0,878.0,1378.0,359.0,95.0
898.0,539.0,702.0,130.0,55.0
56.0,33.0,68.0,27.0,10.0
198.0,97.0,213.0,110.0,90.0
146.0,77.0,203.0,62.0,39.0
22.0,11.0,13.0,11.0,10.0
1012.0,521.0,996.0,334.0,95.0
857.0,376.0,744.0,237.0,183.0
981.0,525.0,745.0,386.0,599.0
1112.0,544.0,1156.0,244.0,157.0
2962.0,1820.0,2114.0,1153.0,741.0
3551.0,1677.0,3259.0,1307.0,1179.0
716.0,251.0,608.0,341.0,570.0
1599.0,725.0,553.0,176.0,296.0
1270.0,608.0,862.0,350.0,404.0
1198.0,613.0,382.0,104.0,32.0
311.0,30.0,100.0,35.0,19.0
2493.0,1306.0,2175.0,892.0,887.0
3535.0,1624.0,1589.0,557.0,295.0
1428.0,641.0,1315.0,618.0,691.0
923.0,310.0,383.0,225.0,141.0
24.0,15.0,39.0,12.0,6.0
541.0,524.0,223.0,47.0,11.0
1226.0,748.0,1038.0,247.0,252.0
1635.0,767.0,1111.0,417.0,322.0
1710.0,888.0,1496.0,925.0,951.0
2138.0,884.0,1532.0,431.0,190.0
