,CrimeRateLabel
Bavel,1
Belcrum,1
Biesdonk,1
Blauwe Kei,0
Boeimeer,1
Brabantpark,1
Buitengebied Bavel,0
Buitengebied Prinsenbeek,0
Buitengebied Ulvenhout,0
Chassé,1
City,2
Doornbos-Linie,1
Effen-Rith,0
Fellenoord,0
Gageldonk,0
Geeren-noord,0
Geeren-zuid,0
Ginneken,0
Haagpoort,0
Heilaar,0
Heksenwiel,0
Heusdenhout,0
Heuvel,1
Kesteren,0
Kievitsloop,0
Kroeten,0
Liesbos,0
Mastbos,0
Muizenberg,0
Nieuw Wolfslaar,0
Overakker,0
Overkroeten,0
Princenhage,1
Prinsenbeek,1
Ruitersbos,0
Schorsmolen,1
Sportpark,0
Station,1
Steenakker,0
Teteringen,1
Tuinzigt,1
Ulvenhout,1
Valkenberg,1
Waterdonken,0
Westerpark,0
Wisselaar,0
Ypelaar,1
Zandberg,1
