;Buurten;Totaalscore Leefbaarometer 3.0|2014;Totaalscore Leefbaarometer 3.0|2018;Totaalscore Leefbaarometer 3.0|2020
0;Valkenberg;4,0437744;4,0946676;4,1224382
1;Chassé;4,1088639;4,1760985;4,2117509
2;Fellenoord;3,8969463;3,9243307;3,9870623
3;Schorsmolen;3,8828739;3,8898649;3,9446339
4;Station;4,0230966;4,0466661;4,0620225
5;City;4,0224228;4,0562968;4,1370920
6;Belcrum;4,0468476;4,0628850;4,0524916
7;Doornbos-Linie;3,8657413;3,8669522;3,9201641
8;Biesdonk;3,8367021;3,8462136;3,8748954
9;Geeren-zuid;3,8511576;3,8388440;3,8424682
10;Wisselaar;3,8590980;3,8526547;3,8879320
11;Krogten;4,0180546;4,1097581;4,1688750
12;Geeren-noord;3,7996045;3,7981452;3,8312036
13;Waterdonken;4,0530228;4,0707392;4,0743781
14;Brabantpark;4,0480815;4,0923338;4,1249967
15;Sportpark;4,2558888;4,3036358;4,3294353
16;Zandberg;4,2911635;4,3231734;4,3462661
17;Heusdenhout;4,0996783;4,1189374;4,1551773
18;Moleneind-oost;?;?;?
19;Hoogeind;;;?
20;Blauwe Kei;4,1742383;4,2075663;4,2348162
21;Ypelaar;4,1124567;4,1477908;4,1732273
22;Overakker;4,1887412;4,2060952;4,2366705
23;Ginneken;4,2882436;4,3132491;4,3309247
24;Mastbos;4,2987223;4,2914283;4,2551871
25;Boeimeer;4,2022858;4,2294233;4,2301167
26;Ruitersbos;4,2925087;4,3116362;4,3157876
27;Haagpoort;3,9207422;3,9807719;3,9937257
28;Heuvel;3,8927308;3,9323470;3,9642746
29;Tuinzigt;3,9181417;3,9056417;3,9579438
30;Princenhage;4,0907655;4,1619141;4,2006204
31;Westerpark;4,1270923;4,1239067;4,1441579
32;Heilaar;4,2844652;4,3009086;4,3089926
33;Hazeldonk;?;?;?
34;Steenakker;4,2383428;4,0466658;3,8895081
35;Effen-Rith;4,2176928;4,2579667;4,1965436
36;Liesbos;4,2871150;4,2917941;4,2461532
37;Gageldonk;3,9832675;4,0246678;4,0586048
38;Kievitsloop;3,9742539;4,0099449;4,0504400
39;Kesteren;3,8737656;3,9532025;3,9843782
40;Muizenberg;3,9563527;4,0208363;4,0444092
41;Heksenwiel;4,0160717;4,0490372;4,0742179
42;Overkroeten;4,0125406;4,0344716;4,0447931
43;Kroeten;3,9721032;4,0376508;4,0710483
44;Emer;?;?;?
45;Hagebeemd;4,2543906;4,3079755;4,3401180
46;Bavel;4,1622053;4,1880745;4,2286584
47;Nieuw Wolfslaar;4,2203205;4,2597426;4,2704295
48;Buitengebied Bavel;4,2749587;4,3161626;4,2934189
49;Ulvenhout;4,2211729;4,2475408;4,2601497
50;Buitengebied Ulvenhout;4,2876857;4,2902200;4,2476167
51;Prinsenbeek;4,1152431;4,1730072;4,1980640
52;Buitengebied Prinsenbeek;4,1944012;4,2647948;4,2747239
53;Teteringen;4,2104362;4,2353137;4,2748255
54;Vuchtpolder;4,3301999;4,3554316;4,3157208
55;Buitengebied Teteringen;4,4549457;4,4669578;4,4683443
